mail1@maildomain.dk;Sverre Test;Mosebryggersen;M;19900401;frihjul;mtb;20220504
mail2@maildomain.dk;Torre Test;Mosebryggersen;M;19900401;sortsol;10km;20220522
mail3@maildomain.dk;Max Test;Berggren;M;19720701;sortsol;5km;20220522
mail4@maildomain.dk;Schwendlund Test;Mosebryggersen;M;19580801;;;
mail5@maildomain.dk;May June Test;Moberg;K;19620801;frihjul;mtb;20220504
mail6@maildomain.dk;Einer Test;Lauridsen;M;19600102;frihjul;mtb;20220504
mail7@maildomain.dk;Lonni Test;Lauridsen ;K;19600102;frihjul;mtb;20220504
mail8@maildomain.dk;Else Test;Lauridsen;K;19910102;frihjul;mtb;20220504
mail9@maildomain.dk;EK Test;Lauridsen;M;19910102;frihjul;mtb;20220504
mail10@maildomain.dk;Ellen Louise Test;Lauridsen;K;19910102;frihjul;mtb;20220504
mail11@maildomain.dk;Åge Test;Berggren;M;19221102;frihjul;mtb;20220504
mail12@maildomain.dk;Bo Test;Vestergaard;M;20151202;frihjul;mtb;20220504
mail13@maildomain.dk;Rasmus Test;Lauridsen;M;19900405;frihjul;mtb;20220504
mail14@maildomain.dk;Magnus Test;Lauridsen;M;19900405;frihjul;mtb;20220504
mail15@maildomain.dk;Pia Test;Berggren;K;20050505;frihjul;mtb;20220504
mail16@maildomain.dk;Gitte Nancy Test;Berggren;K;20100505;frihjul;mtb;20220504
mail17@maildomain.dk;Lars Test;Berggren;M;20150505;frihjul;mtb;20220504
mail18@maildomain.dk;Rikke Test;Berggren;K;20200505;;;
mail19@maildomain.dk;Sille June Test;Mosebrygersen;K;19880605;;;
mail20@maildomain.dk;Muhammed Test;Abdul;M;20050710;;;
mail21@maildomain.dk;Juliane Test;Jørgensen;K;20101011;;;
mail22@maildomain.dk;Ruddi Test;Berggren;M;19770215;;;
mail23@maildomain.dk;Odd Haugen Test;Mosebryggersen;M;19790215;;;
mail24@maildomain.dk;Knut Odvar Test;Mosebryggersen;M;19820215;;;
mail25@maildomain.dk;Brita Test;Berggren;K;19810915;sortsol;10km;20220522
mail26@maildomain.dk;Kaja Test;Hansen;K;20000321;sortsol;10km;20220522
mail27@maildomain.dk;Cæcar Test;østergård;M;19141123;sortsol;10km;20220522
mail28@maildomain.dk;Bruno Test;Elmer;M;19470925;sortsol;10km;20220522
mail29@maildomain.dk;Nancy Ann Test;Berggren;K;19481225;sortsol;10km;20220522
mail30@maildomain.dk;Kirsten Test;Berggren;K;19821129;sortsol;5km;20220522
mail31@maildomain.dk;Niels Test;Vendelboe;M;19740130;sortsol;5km;20220522
mail32@maildomain.dk;Anders Test;Jensen;M;19970331;sortsol;5km;20220522
